UniversityID,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,Institutional Equipment,8,0.068263404,0.10979228486646884,0.008902077151335312,337
10,Institutional Equipment,9,0.05672994,0.06865671641791045,0.014925373134328358,335
10,Institutional Equipment,10,0.056899358,0.1347305389221557,0.038922155688622756,334
10,Institutional Equipment,11,0.07554061,0.12386706948640483,0.0,331
10,Institutional Equipment,12,0.043224525,0.05555555555555555,0.015432098765432098,324
10,Interior Doors,1,0.03468498,0.035752979414951244,0.11375947995666305,923
10,Interior Doors,2,0.025439544,0.02754237288135593,0.1504237288135593,944
10,Interior Doors,3,0.035876572,0.040983606557377046,0.1721311475409836,976
10,Interior Doors,4,0.0321404,0.03626943005181347,0.1316062176165803,965
10,Interior Doors,5,0.026188478,0.029443838604143947,0.11123227917121047,917
10,Interior Doors,6,0.028338471,0.02832244008714597,0.11982570806100218,918
10,Interior Doors,7,0.0295892,0.03066812705366922,0.11610076670317634,913
10,Interior Doors,8,0.025016682,0.030434782608695653,0.10326086956521739,920
10,Interior Doors,9,0.046854813,0.05337690631808279,0.12745098039215685,918
10,Interior Doors,10,0.035535898,0.03982777179763186,0.13670613562970937,929
10,Interior Doors,11,0.025932265,0.028077753779697623,0.11663066954643629,926
10,Interior Doors,12,0.014161742,0.014145810663764961,0.07616974972796518,919
10,Interior Windows,1,1.244295e-05,0.0,0.19428571428571428,175
10,Interior Windows,2,1.2379769e-05,0.0,0.16279069767441862,172
10,Interior Windows,3,1.2506608e-05,0.0,0.1893491124260355,169
10,Interior Windows,4,1.2453456e-05,0.0,0.14035087719298245,171
10,Interior Windows,5,0.011506048,0.011494252873563218,0.16091954022988506,174
10,Interior Windows,6,1.20197865e-05,0.0,0.10795454545454546,176
10,Interior Windows,7,0.005825548,0.005813953488372093,0.08139534883720931,172
10,Interior Windows,8,1.2132377e-05,0.0,0.192090395480226,177
10,Interior Windows,9,0.00559794,0.00558659217877095,0.18994413407821228,179
10,Interior Windows,10,1.1274027e-05,0.0,0.15168539325842698,178
10,Interior Windows,11,0.0055975406,0.00558659217877095,0.1452513966480447,179
10,Interior Windows,12,0.005725809,0.005714285714285714,0.2,175
10,Landscaping,1,1.2386431e-05,0.0,0.0,18
10,Landscaping,2,1.235858e-05,0.0,0.0,17
10,Landscaping,3,1.2427979e-05,0.0,0.0,15
10,Landscaping,4,1.223092e-05,0.0,0.0,15
10,Landscaping,5,1.25570605e-05,0.0,0.0,16
10,Landscaping,6,1.2585271e-05,0.0,0.0,17
10,Landscaping,7,1.2622417e-05,0.0,0.0,18
10,Landscaping,8,1.2411139e-05,0.0,0.0,18
10,Landscaping,9,1.1696331e-05,0.0,0.0,18
10,Landscaping,10,1.1525089e-05,0.0,0.0,18
10,Landscaping,11,1.0955029e-05,0.0,0.0,17
10,Landscaping,12,1.1681582e-05,0.0,0.0,18
10,Lighting and Branch Wiring,1,0.0035008679,0.0034891835310537334,0.08304256803907886,1433
10,Lighting and Branch Wiring,2,0.006781904,0.006770480704129994,0.11103588354773189,1477
10,Lighting and Branch Wiring,3,0.006642742,0.006631299734748011,0.08222811671087533,1508
10,Lighting and Branch Wiring,4,0.013344359,0.014666666666666666,0.062,1500
10,Lighting and Branch Wiring,5,0.0038877968,0.004651162790697674,0.06589147286821706,1290
10,Lighting and Branch Wiring,6,0.007902559,0.007890961262553802,0.04949784791965567,1394
10,Lighting and Branch Wiring,7,0.0049350685,0.009142053445850914,0.06258790436005626,1422
10,Lighting and Branch Wiring,8,0.007769792,0.007757404795486601,0.06488011283497884,1418
10,Lighting and Branch Wiring,9,0.0071235118,0.007112375533428165,0.05903271692745377,1406
10,Lighting and Branch Wiring,10,0.00634395,0.007037297677691766,0.048557353976073185,1421
10,Lighting and Branch Wiring,11,0.0063753324,0.006364922206506365,0.08062234794908062,1414
10,Lighting and Branch Wiring,12,0.006313762,0.0063025210084033615,0.049019607843137254,1428
10,Movable Furnishings,1,1.2456464e-05,0.0,0.09565217391304348,115
10,Movable Furnishings,2,1.2398711e-05,0.0,0.1440677966101695,118
10,Movable Furnishings,3,1.2811076e-05,0.0,0.11403508771929824,114
10,Movable Furnishings,4,0.0088618025,0.008849557522123894,0.12389380530973451,113
10,Movable Furnishings,5,0.017710852,0.017699115044247787,0.04424778761061947,113
10,Movable Furnishings,6,1.2467505e-05,0.0,0.043478260869565216,115
